id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
383,,Deleted,2014-02-13 06:11:46+00:00,None,None,None,True,0,
386,,Incomplete,2014-02-13 21:59:10+00:00,None,None,None,True,0,
387,,Incomplete,2014-02-13 21:59:49+00:00,None,None,None,True,0,
388,35,Incomplete,2014-02-13 21:59:49+00:00,None,None,None,True,0,
391,,Incomplete,2014-02-13 23:32:44+00:00,None,None,None,True,0,
392,1,Incomplete,2014-02-13 23:42:56+00:00,None,None,None,True,0,1
397,20,Incomplete,2014-02-13 23:49:46+00:00,None,None,None,True,0,
399,,Incomplete,2014-02-13 23:51:18+00:00,None,None,None,True,0,
400,6,New (Unsent),2014-02-13 23:51:32+00:00,None,None,None,True,0,12
401,,Incomplete,2014-02-13 23:51:57+00:00,None,None,None,True,0,
404,1,Filed (Request sent),2014-02-14 00:00:41+00:00,2014-02-14 00:00:50+00:00,2014-03-17 00:00:50+00:00,None,True,2,1
405,,Incomplete,2014-02-14 00:05:04+00:00,None,None,None,True,0,
406,27,New (Unsent),2014-02-14 00:05:05+00:00,None,None,None,True,0,26
407,1,Incomplete,2014-02-14 00:10:34+00:00,None,None,None,True,0,
411,,Incomplete,2014-02-14 00:20:07+00:00,None,None,None,True,0,
413,,Incomplete,2014-02-14 03:16:32+00:00,None,None,None,True,0,
414,43,Incomplete,2014-02-14 07:48:28+00:00,None,None,None,True,0,
415,55,Incomplete,2014-02-14 07:48:37+00:00,None,None,None,True,0,56
416,60,Fulfilled,2014-02-14 16:38:06+00:00,2014-02-14 16:44:26+00:00,2014-03-25 04:00:00+00:00,2014-03-27 04:00:00+00:00,False,8,59
417,,Incomplete,2014-02-14 22:14:58+00:00,None,None,None,True,0,
418,,Incomplete,2014-02-14 23:07:56+00:00,None,None,None,True,0,
419,,Deleted,2014-02-16 21:28:42+00:00,None,None,None,True,0,
420,,Deleted,2014-02-16 21:28:52+00:00,None,None,None,True,0,
421,9,Incomplete,2014-02-17 03:26:45+00:00,None,None,None,True,0,14
422,52,Incomplete,2014-02-17 22:45:36+00:00,None,None,None,True,0,
423,10,Incomplete,2014-02-18 01:40:36+00:00,None,None,None,True,0,
429,,Deleted,2014-02-19 16:43:22+00:00,None,None,None,True,0,
430,55,New (Unsent),2014-02-19 16:51:26+00:00,None,None,None,True,0,56
431,1,New (Unsent),2014-02-19 17:21:34+00:00,None,None,None,True,0,1
432,,Incomplete,2014-02-19 17:32:43+00:00,None,None,None,True,0,
434,10,Incomplete,2014-02-19 17:56:59+00:00,None,None,None,True,0,
435,10,New (Unsent),2014-02-19 17:57:17+00:00,2014-02-19 17:58:47+00:00,2014-03-19 17:58:47+00:00,None,False,0,
452,62,Incomplete,2014-02-20 02:55:45+00:00,None,None,None,True,0,
455,10,Incomplete,2014-02-20 05:57:52+00:00,None,None,None,True,0,
456,10,Incomplete,2014-02-20 15:26:46+00:00,None,None,None,True,0,
457,,Filed (Request sent),2014-02-21 00:22:54+00:00,None,None,None,True,0,
460,64,Filed (Request sent),2014-02-21 17:09:56+00:00,2014-02-21 17:12:52+00:00,2014-02-28 17:12:52+00:00,None,False,3,60
461,10,Filed (Request sent),2014-02-21 18:18:21+00:00,2014-02-21 18:20:49+00:00,2014-03-21 18:20:49+00:00,None,True,1,
477,1,Filed (Request sent),2014-02-24 15:20:45+00:00,2014-02-24 15:21:33+00:00,2014-03-24 15:21:33+00:00,None,True,1,1
478,,Incomplete,2014-02-24 15:47:37+00:00,None,None,None,True,0,
479,10,Filed (Request sent),2014-02-24 17:29:38+00:00,2014-02-24 17:33:54+00:00,2014-03-24 17:33:54+00:00,None,True,1,
486,5,Filed (Request sent),2014-02-25 01:35:32+00:00,2014-02-25 01:46:41+00:00,2014-03-25 01:46:41+00:00,None,True,1,11
488,,Incomplete,2014-02-25 03:58:22+00:00,None,None,None,True,0,
489,,Incomplete,2014-02-25 05:36:41+00:00,None,None,None,True,0,
490,,Incomplete,2014-02-25 10:30:57+00:00,None,None,None,True,0,
491,,Incomplete,2014-02-25 15:03:47+00:00,None,None,None,True,0,
494,59,Filed (Request sent),2014-02-25 15:39:01+00:00,2014-02-25 15:42:11+00:00,2014-03-25 15:42:11+00:00,None,True,2,58
495,,Incomplete,2014-02-25 16:10:59+00:00,None,None,None,True,0,
496,,Incomplete,2014-02-25 16:12:02+00:00,None,None,None,True,0,
497,,Incomplete,2014-02-25 16:14:33+00:00,None,None,None,True,0,
498,,Incomplete,2014-02-25 16:14:51+00:00,None,None,None,True,0,
499,,Incomplete,2014-02-25 16:19:46+00:00,None,None,None,True,0,
502,,Response received (but not complete),2014-02-25 16:37:10+00:00,None,2014-02-28 08:00:00+00:00,None,True,0,
505,,Incomplete,2014-02-25 16:47:43+00:00,None,None,None,True,0,
506,,Incomplete,2014-02-25 17:09:57+00:00,None,None,None,True,0,
